request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,request_hour,request_day,trip_duration_min,unmet_demand
619,Airport,1,Trip Completed,11/7/2016 11:51,11/7/2016 13:00,11,Monday,69,0
867,Airport,1,Trip Completed,11/7/2016 17:57,11/7/2016 18:47,17,Monday,50,0
1807,City,1,Trip Completed,12/7/2016 9:17,12/7/2016 9:58,9,Wednesday,41,0
2532,Airport,1,Trip Completed,12/7/2016 21:08,12/7/2016 22:03,21,Wednesday,55,0
3112,City,1,Trip Completed,7/13/2016 8:33,7/13/2016 9:25,8,Wednesday,52,0
3879,Airport,1,Trip Completed,7/13/2016 21:57,7/13/2016 22:28,21,Wednesday,31,0
4270,Airport,1,Trip Completed,7/14/2016 6:15,7/14/2016 7:13,6,Thursday,58,0
5510,Airport,1,Trip Completed,7/15/2016 5:11,7/15/2016 6:07,5,Friday,56,0
6248,City,1,Trip Completed,7/15/2016 17:57,7/15/2016 18:50,17,Friday,53,0
267,City,2,Trip Completed,11/7/2016 6:46,11/7/2016 7:25,6,Monday,39,0
1467,Airport,2,Trip Completed,12/7/2016 5:08,12/7/2016 6:02,5,Wednesday,54,0
1983,City,2,Trip Completed,12/7/2016 12:30,12/7/2016 12:57,12,Wednesday,27,0
2784,Airport,2,Trip Completed,7/13/2016 4:49,7/13/2016 5:23,4,Wednesday,34,0
3075,City,2,Trip Completed,7/13/2016 8:02,7/13/2016 9:16,8,Wednesday,74,0
3379,City,2,Trip Completed,7/13/2016 14:23,7/13/2016 15:35,14,Wednesday,72,0
3482,Airport,2,Trip Completed,7/13/2016 17:23,7/13/2016 18:20,17,Wednesday,57,0
4652,City,2,Trip Completed,7/14/2016 12:01,7/14/2016 12:36,12,Thursday,35,0
5335,Airport,2,Trip Completed,7/14/2016 22:24,7/14/2016 23:18,22,Thursday,54,0
535,Airport,3,Trip Completed,11/7/2016 10:00,11/7/2016 10:31,10,Monday,31,0
960,Airport,3,Trip Completed,11/7/2016 18:45,11/7/2016 19:23,18,Monday,38,0
